uniprot_id,gene_name,length,entry_type,description,is_essential
tr|A6T6T9|A6T6T9_KLEP7,cmr,410,unreviewed (tr),tr|A6T6T9|A6T6T9_KLEP7 Multidrug transporter MdfA OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
sp|A6T6U3|Y853_KLEP7,KPN78578_08530,561,reviewed (sp),sp|A6T6U3|Y853_KLEP7 Putative transport protein KPN78578_08530 OS=Klebsiella pneumoniae subsp. pneum,False
tr|A6T6U5|A6T6U5_KLEP7,grxA,87,unreviewed (tr),tr|A6T6U5|A6T6U5_KLEP7 Glutaredoxin 1 redox coenzyme OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
tr|A6T6U8|A6T6U8_KLEP7,rimK,262,unreviewed (tr),tr|A6T6U8|A6T6U8_KLEP7 Probable alpha-L-glutamate ligase OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T6V0|A6T6V0_KLEP7,potF,370,unreviewed (tr),tr|A6T6V0|A6T6V0_KLEP7 Putrescine-binding periplasmic protein OS=Klebsiella pneumoniae subsp. pneumo,False
tr|A6T6V1|A6T6V1_KLEP7,potG,393,unreviewed (tr),tr|A6T6V1|A6T6V1_KLEP7 Spermidine/putrescine import ATP-binding protein PotA OS=Klebsiella pneumonia,False
tr|A6T6V3|A6T6V3_KLEP7,potI,281,unreviewed (tr),tr|A6T6V3|A6T6V3_KLEP7 Putrescine transport system permease protein PotI OS=Klebsiella pneumoniae su,False
tr|A6T6V5|A6T6V5_KLEP7,ybjF,375,unreviewed (tr),tr|A6T6V5|A6T6V5_KLEP7 23S rRNA (uracil(747)-C(5))-methyltransferase RlmC OS=Klebsiella pneumoniae s,False
tr|A6T6V6|A6T6V6_KLEP7,KPN_00891,238,unreviewed (tr),tr|A6T6V6|A6T6V6_KLEP7 Phosphate regulon transcriptional regulatory protein PhoB OS=Klebsiella pneum,False
tr|A6T6V7|A6T6V7_KLEP7,KPN_00892,490,unreviewed (tr),tr|A6T6V7|A6T6V7_KLEP7 histidine kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T6V8|A6T6V8_KLEP7,artJ,243,unreviewed (tr),tr|A6T6V8|A6T6V8_KLEP7 Arginine 3rd transport system periplasmic binding protein OS=Klebsiella pneum,False
tr|A6T6V9|A6T6V9_KLEP7,artM,222,unreviewed (tr),tr|A6T6V9|A6T6V9_KLEP7 Arginine ABC transporter permease protein ArtM OS=Klebsiella pneumoniae subsp,False
tr|A6T6W0|A6T6W0_KLEP7,artQ,238,unreviewed (tr),tr|A6T6W0|A6T6W0_KLEP7 Arginine ABC transporter permease protein ArtQ OS=Klebsiella pneumoniae subsp,False
tr|A6T6W1|A6T6W1_KLEP7,artI,250,unreviewed (tr),tr|A6T6W1|A6T6W1_KLEP7 Arginine 3rd transport system periplasmic binding protein OS=Klebsiella pneum,False
tr|A6T6W2|A6T6W2_KLEP7,artP,242,unreviewed (tr),tr|A6T6W2|A6T6W2_KLEP7 Arginine transport ATP-binding protein ArtP OS=Klebsiella pneumoniae subsp. p,False
tr|A6T6W4|A6T6W4_KLEP7,KPN_00899,350,unreviewed (tr),tr|A6T6W4|A6T6W4_KLEP7 diguanylate cyclase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T6W5|A6T6W5_KLEP7,ybjR,295,unreviewed (tr),tr|A6T6W5|A6T6W5_KLEP7 N-acetylmuramoyl-L-alanine amidase OS=Klebsiella pneumoniae subsp. pneumoniae,False
tr|A6T6W8|A6T6W8_KLEP7,ltaE,333,unreviewed (tr),tr|A6T6W8|A6T6W8_KLEP7 Low specificity L-threonine aldolase OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6T6X4|A6T6X4_KLEP7,aqpZ,231,unreviewed (tr),tr|A6T6X4|A6T6X4_KLEP7 Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T6X6|A6T6X6_KLEP7,macA,371,unreviewed (tr),tr|A6T6X6|A6T6X6_KLEP7 Accessory protein to ABC-type macrolide transport protein MacB OS=Klebsiella ,False
tr|A6T6X7|A6T6X7_KLEP7,macB,646,unreviewed (tr),tr|A6T6X7|A6T6X7_KLEP7 Macrolide transport protein OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
sp|A6T6X9|CLPS_KLEP7,clpS,105,reviewed (sp),sp|A6T6X9|CLPS_KLEP7 ATP-dependent Clp protease adapter protein ClpS OS=Klebsiella pneumoniae subsp.,False
tr|A6T6Y0|A6T6Y0_KLEP7,clpA,759,unreviewed (tr),tr|A6T6Y0|A6T6Y0_KLEP7 ATP-dependent Clp protease ATP-binding subunit ClpA OS=Klebsiella pneumoniae ,False
sp|A6T6Y1|IF1_KLEP7,infA,72,reviewed (sp),sp|A6T6Y1|IF1_KLEP7 Translation initiation factor IF-1 OS=Klebsiella pneumoniae subsp. pneumoniae (s,True
tr|A6T6Y3|A6T6Y3_KLEP7,cydC,573,unreviewed (tr),tr|A6T6Y3|A6T6Y3_KLEP7 Glutathione/L-cysteine transport system ATP-binding/permease protein CydC OS=,False
tr|A6T6Y5|A6T6Y5_KLEP7,trxB,331,unreviewed (tr),tr|A6T6Y5|A6T6Y5_KLEP7 Thioredoxin reductase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
tr|A6T6Y6|A6T6Y6_KLEP7,lrp,164,unreviewed (tr),tr|A6T6Y6|A6T6Y6_KLEP7 Leucine-responsive regulatory protein OS=Klebsiella pneumoniae subsp. pneumon,False
tr|A6T6Y7|A6T6Y7_KLEP7,ftsK,1417,unreviewed (tr),tr|A6T6Y7|A6T6Y7_KLEP7 DNA translocase FtsK OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,False
sp|A6T6Y8|LOLA_KLEP7,lolA,203,reviewed (sp),sp|A6T6Y8|LOLA_KLEP7 Outer-membrane lipoprotein carrier protein OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T6Y9|A6T6Y9_KLEP7,ycaJ,447,unreviewed (tr),tr|A6T6Y9|A6T6Y9_KLEP7 Replication-associated recombination protein A OS=Klebsiella pneumoniae subsp,False
tr|A6T6Z1|A6T6Z1_KLEP7,dmsA,812,unreviewed (tr),"tr|A6T6Z1|A6T6Z1_KLEP7 Anaerobic dimethyl sulfoxide (DMSO) reductase, subunit A OS=Klebsiella pneumo",False
tr|A6T6Z4|A6T6Z4_KLEP7,ycaD,382,unreviewed (tr),tr|A6T6Z4|A6T6Z4_KLEP7 Uncharacterized MFS-type transporter KPN_00929 OS=Klebsiella pneumoniae subsp,False
tr|A6T6Z5|A6T6Z5_KLEP7,pflA,246,unreviewed (tr),tr|A6T6Z5|A6T6Z5_KLEP7 Pyruvate formate-lyase-activating enzyme OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T6Z6|A6T6Z6_KLEP7,pflB,760,unreviewed (tr),tr|A6T6Z6|A6T6Z6_KLEP7 Formate acetyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ,False
tr|A6T6Z7|A6T6Z7_KLEP7,focA,271,unreviewed (tr),tr|A6T6Z7|A6T6Z7_KLEP7 Formate transporter FocA OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
tr|A6T703|A6T703_KLEP7,rpsA,557,unreviewed (tr),tr|A6T703|A6T703_KLEP7 30S ribosomal protein S1 OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,True
sp|A6T704|IHFB_KLEP7,ihfB,95,reviewed (sp),sp|A6T704|IHFB_KLEP7 Integration host factor subunit beta OS=Klebsiella pneumoniae subsp. pneumoniae,False
tr|A6T706|A6T706_KLEP7,msbA,582,unreviewed (tr),tr|A6T706|A6T706_KLEP7 ATP-binding transport protein multicopy suppressor of htrB OS=Klebsiella pneu,False
sp|A6T707|LPXK_KLEP7,lpxK,326,reviewed (sp),sp|A6T707|LPXK_KLEP7 Tetraacyldisaccharide 4'-kinase OS=Klebsiella pneumoniae subsp. pneumoniae (str,True
sp|A6T710|KDSB_KLEP7,kdsB,248,reviewed (sp),sp|A6T710|KDSB_KLEP7 3-deoxy-manno-octulosonate cytidylyltransferase OS=Klebsiella pneumoniae subsp.,False
tr|A6T712|A6T712_KLEP7,ycbC,259,unreviewed (tr),tr|A6T712|A6T712_KLEP7 Envelope biogenesis factor ElyC OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
tr|A6T713|A6T713_KLEP7,smtA,270,unreviewed (tr),tr|A6T713|A6T713_KLEP7 tRNA 5-carboxymethoxyuridine methyltransferase OS=Klebsiella pneumoniae subsp,False
tr|A6T715|A6T715_KLEP7,mukE,234,unreviewed (tr),tr|A6T715|A6T715_KLEP7 Chromosome partition protein MukE OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T717|A6T717_KLEP7,ycbB,577,unreviewed (tr),tr|A6T717|A6T717_KLEP7 Amidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH ,False
tr|A6T718|A6T718_KLEP7,ycbK,218,unreviewed (tr),tr|A6T718|A6T718_KLEP7 Murein endopeptidase K OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T720|A6T720_KLEP7,aspC,396,unreviewed (tr),tr|A6T720|A6T720_KLEP7 Aminotransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T723|A6T723_KLEP7,hsdM,675,unreviewed (tr),tr|A6T723|A6T723_KLEP7 site-specific DNA-methyltransferase (adenine-specific) OS=Klebsiella pneumoni,False
sp|A6T726|SYN_KLEP7,asnS,466,reviewed (sp),sp|A6T726|SYN_KLEP7 Asparagine--tRNA ligase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,True
tr|A6T732|A6T732_KLEP7,pncB,412,unreviewed (tr),tr|A6T732|A6T732_KLEP7 Nicotinate phosphoribosyltransferase OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6T733|A6T733_KLEP7,pepN,871,unreviewed (tr),tr|A6T733|A6T733_KLEP7 Aminopeptidase N OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T736|A6T736_KLEP7,ssuD,381,unreviewed (tr),tr|A6T736|A6T736_KLEP7 Alkanesulfonate monooxygenase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
tr|A6T737|A6T737_KLEP7,ssuA,320,unreviewed (tr),tr|A6T737|A6T737_KLEP7 Putative aliphatic sulfonates-binding protein OS=Klebsiella pneumoniae subsp.,False
tr|A6T740|A6T740_KLEP7,ycbW,180,unreviewed (tr),tr|A6T740|A6T740_KLEP7 Cell division protein ZapC OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T749|A6T749_KLEP7,ycbZ,585,unreviewed (tr),tr|A6T749|A6T749_KLEP7 endopeptidase La OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
sp|A6T750|MATP_KLEP7,matP,150,reviewed (sp),sp|A6T750|MATP_KLEP7 Macrodomain Ter protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
sp|A6T752|SULA_KLEP7,sulA,169,reviewed (sp),sp|A6T752|SULA_KLEP7 Cell division inhibitor SulA OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T756|A6T756_KLEP7,helD,684,unreviewed (tr),tr|A6T756|A6T756_KLEP7 DNA 3'-5' helicase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
tr|A6T757|A6T757_KLEP7,mgsA,157,unreviewed (tr),tr|A6T757|A6T757_KLEP7 Methylglyoxal synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
sp|A6T765|HSPQ_KLEP7,hspQ,105,reviewed (sp),sp|A6T765|HSPQ_KLEP7 Heat shock protein HspQ OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
sp|A6T766|RLMI_KLEP7,rlmI,400,reviewed (sp),sp|A6T766|RLMI_KLEP7 Ribosomal RNA large subunit methyltransferase I OS=Klebsiella pneumoniae subsp.,False
sp|A6T769|ACYP_KLEP7,acyP,95,reviewed (sp),sp|A6T769|ACYP_KLEP7 Acylphosphatase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 ,False
tr|A6T770|A6T770_KLEP7,yccK,109,unreviewed (tr),tr|A6T770|A6T770_KLEP7 Sulfurtransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T779|A6T779_KLEP7,KPN_01015,361,unreviewed (tr),tr|A6T779|A6T779_KLEP7 D-malate dehydrogenase (decarboxylating) OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T784|A6T784_KLEP7,KPN_01020,250,unreviewed (tr),tr|A6T784|A6T784_KLEP7 gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Klebsiella pneumoniae subsp. ,False
sp|A6T797|RUTF_KLEP7,rutF,164,reviewed (sp),sp|A6T797|RUTF_KLEP7 FMN reductase (NADH) RutF OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
sp|A6T798|RUTE_KLEP7,rutE,196,reviewed (sp),sp|A6T798|RUTE_KLEP7 Probable malonic semialdehyde reductase RutE OS=Klebsiella pneumoniae subsp. pn,False
sp|A6T799|RUTD_KLEP7,rutD,266,reviewed (sp),sp|A6T799|RUTD_KLEP7 Putative carbamate hydrolase RutD OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
sp|A6T7A0|RUTC_KLEP7,rutC,130,reviewed (sp),sp|A6T7A0|RUTC_KLEP7 3-aminoacrylate deaminase RutC OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
sp|A6T7A1|RUTB_KLEP7,rutB,236,reviewed (sp),sp|A6T7A1|RUTB_KLEP7 Ureidoacrylate amidohydrolase RutB OS=Klebsiella pneumoniae subsp. pneumoniae (,False
sp|A6T7A2|RUTA_KLEP7,rutA,363,reviewed (sp),sp|A6T7A2|RUTA_KLEP7 Pyrimidine monooxygenase RutA OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6T7A6|A6T7A6_KLEP7,putP,502,unreviewed (tr),tr|A6T7A6|A6T7A6_KLEP7 Sodium/proline symporter OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
tr|A6T7A9|A6T7A9_KLEP7,yijD,276,unreviewed (tr),tr|A6T7A9|A6T7A9_KLEP7 Ferrous iron permease EfeU OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T7B0|A6T7B0_KLEP7,ycdO,377,unreviewed (tr),tr|A6T7B0|A6T7B0_KLEP7 Iron uptake system component EfeO OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T7B2|A6T7B2_KLEP7,phoH,262,unreviewed (tr),tr|A6T7B2|A6T7B2_KLEP7 Protein PhoH OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 /,False
sp|A6T7B9|Y1029_KLEP7,KPN78578_10290,245,reviewed (sp),sp|A6T7B9|Y1029_KLEP7 Probable phosphatase KPN78578_10290 OS=Klebsiella pneumoniae subsp. pneumoniae,False
tr|A6T7C4|A6T7C4_KLEP7,mdoC,386,unreviewed (tr),tr|A6T7C4|A6T7C4_KLEP7 Glucans biosynthesis protein C OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T7C5|A6T7C5_KLEP7,mdoG,517,unreviewed (tr),tr|A6T7C5|A6T7C5_KLEP7 Glucans biosynthesis protein G OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
sp|A6T7C6|OPGH_KLEP7,mdoH,842,reviewed (sp),sp|A6T7C6|OPGH_KLEP7 Glucans biosynthesis glucosyltransferase H OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T7C9|A6T7C9_KLEP7,yceE,408,unreviewed (tr),tr|A6T7C9|A6T7C9_KLEP7 Multidrug resistance protein MdtG OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T7D1|A6T7D1_KLEP7,yceA,338,unreviewed (tr),tr|A6T7D1|A6T7D1_KLEP7 tRNA uridine(34) hydroxylase OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T7D3|A6T7D3_KLEP7,solA,372,unreviewed (tr),tr|A6T7D3|A6T7D3_KLEP7 N-methyl-L-tryptophan oxidase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
sp|A6T7D8|MDTH_KLEP7,mdtH,402,reviewed (sp),sp|A6T7D8|MDTH_KLEP7 Multidrug resistance protein MdtH OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
tr|A6T7D9|A6T7D9_KLEP7,rimJ,194,unreviewed (tr),tr|A6T7D9|A6T7D9_KLEP7 [Ribosomal protein uS5]-alanine N-acetyltransferase OS=Klebsiella pneumoniae ,False
tr|A6T7E2|A6T7E2_KLEP7,mviN,499,unreviewed (tr),tr|A6T7E2|A6T7E2_KLEP7 Probable lipid II flippase MurJ OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
tr|A6T7E6|A6T7E6_KLEP7,rluC,331,unreviewed (tr),tr|A6T7E6|A6T7E6_KLEP7 Pseudouridine synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T7E8|A6T7E8_KLEP7,yceD,173,unreviewed (tr),tr|A6T7E8|A6T7E8_KLEP7 Large ribosomal RNA subunit accumulation protein YceD OS=Klebsiella pneumonia,False
sp|A6T7E9|RL32_KLEP7,rpmF,57,reviewed (sp),sp|A6T7E9|RL32_KLEP7 Large ribosomal subunit protein bL32 OS=Klebsiella pneumoniae subsp. pneumoniae,False
tr|A6T7F2|A6T7F2_KLEP7,fabD,309,unreviewed (tr),tr|A6T7F2|A6T7F2_KLEP7 Malonyl CoA-acyl carrier protein transacylase OS=Klebsiella pneumoniae subsp.,True
tr|A6T7F3|A6T7F3_KLEP7,fabG,244,unreviewed (tr),tr|A6T7F3|A6T7F3_KLEP7 3-oxoacyl-[acyl-carrier-protein] reductase OS=Klebsiella pneumoniae subsp. pn,True
sp|A6T7F4|ACP_KLEP7,acpP,78,reviewed (sp),sp|A6T7F4|ACP_KLEP7 Acyl carrier protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T7F5|A6T7F5_KLEP7,fabF,413,unreviewed (tr),tr|A6T7F5|A6T7F5_KLEP7 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Klebsiella pneumoniae subsp. p,True
tr|A6T7F6|A6T7F6_KLEP7,pabC,269,unreviewed (tr),tr|A6T7F6|A6T7F6_KLEP7 Aminodeoxychorismate lyase OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T7F7|A6T7F7_KLEP7,yceG,337,unreviewed (tr),tr|A6T7F7|A6T7F7_KLEP7 Endolytic murein transglycosylase OS=Klebsiella pneumoniae subsp. pneumoniae ,False
sp|A6T7F8|KTHY_KLEP7,tmk,213,reviewed (sp),sp|A6T7F8|KTHY_KLEP7 Thymidylate kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7F9|A6T7F9_KLEP7,holB,334,unreviewed (tr),tr|A6T7F9|A6T7F9_KLEP7 DNA polymerase III subunit delta' OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T7G1|A6T7G1_KLEP7,ptsG,477,unreviewed (tr),tr|A6T7G1|A6T7G1_KLEP7 PTS system glucose-specific EIICB component OS=Klebsiella pneumoniae subsp. p,False
tr|A6T7G2|A6T7G2_KLEP7,ycfF,118,unreviewed (tr),tr|A6T7G2|A6T7G2_KLEP7 Purine nucleoside phosphoramidase OS=Klebsiella pneumoniae subsp. pneumoniae ,False
sp|A6T7G4|LPOB_KLEP7,lpoB,215,reviewed (sp),sp|A6T7G4|LPOB_KLEP7 Penicillin-binding protein activator LpoB OS=Klebsiella pneumoniae subsp. pneum,False
tr|A6T7G5|A6T7G5_KLEP7,ycfN,275,unreviewed (tr),tr|A6T7G5|A6T7G5_KLEP7 Thiamine kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70072,False
tr|A6T7H0|A6T7H0_KLEP7,KPN_01108,731,unreviewed (tr),tr|A6T7H0|A6T7H0_KLEP7 Ferric aerobactin receptor OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T7H3|A6T7H3_KLEP7,ycfS,319,unreviewed (tr),tr|A6T7H3|A6T7H3_KLEP7 Enzyme OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 7,False
tr|A6T7H4|A6T7H4_KLEP7,mfd,1152,unreviewed (tr),tr|A6T7H4|A6T7H4_KLEP7 Transcription-repair-coupling factor OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6T7H6|A6T7H6_KLEP7,ycfV,233,unreviewed (tr),tr|A6T7H6|A6T7H6_KLEP7 Lipoprotein-releasing system ATP-binding protein LolD OS=Klebsiella pneumonia,False
tr|A6T7I2|A6T7I2_KLEP7,KPN_01120,265,unreviewed (tr),tr|A6T7I2|A6T7I2_KLEP7 Triosephosphate isomerase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ,False
tr|A6T7I8|A6T7I8_KLEP7,talA,317,unreviewed (tr),tr|A6T7I8|A6T7I8_KLEP7 Transaldolase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 ,False
tr|A6T7J1|A6T7J1_KLEP7,potD,348,unreviewed (tr),tr|A6T7J1|A6T7J1_KLEP7 Putrescine-binding periplasmic protein OS=Klebsiella pneumoniae subsp. pneumo,False
tr|A6T7J2|A6T7J2_KLEP7,potC,261,unreviewed (tr),tr|A6T7J2|A6T7J2_KLEP7 Spermidine/putrescine transport system permease protein PotC OS=Klebsiella pn,False
tr|A6T7J3|A6T7J3_KLEP7,potB,285,unreviewed (tr),tr|A6T7J3|A6T7J3_KLEP7 Spermidine/putrescine transport system permease protein PotB OS=Klebsiella pn,False
tr|A6T7J4|A6T7J4_KLEP7,potA,378,unreviewed (tr),tr|A6T7J4|A6T7J4_KLEP7 Spermidine/putrescine import ATP-binding protein PotA OS=Klebsiella pneumonia,False
tr|A6T7J7|A6T7J7_KLEP7,phoQ,488,unreviewed (tr),tr|A6T7J7|A6T7J7_KLEP7 histidine kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7J8|A6T7J8_KLEP7,phoP,223,unreviewed (tr),"tr|A6T7J8|A6T7J8_KLEP7 Response regulator in two-component regulatory system with PhoQ, regulates ge",False
sp|A6T7K2|HFLD_KLEP7,hflD,213,reviewed (sp),sp|A6T7K2|HFLD_KLEP7 High frequency lysogenization protein HflD homolog OS=Klebsiella pneumoniae sub,False
tr|A6T7K4|A6T7K4_KLEP7,ymfB,152,unreviewed (tr),tr|A6T7K4|A6T7K4_KLEP7 Phosphatase NudJ OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7K5|A6T7K5_KLEP7,ymfC,206,unreviewed (tr),tr|A6T7K5|A6T7K5_KLEP7 Pseudouridine synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T7L5|A6T7L5_KLEP7,KPN_01153,468,unreviewed (tr),"tr|A6T7L5|A6T7L5_KLEP7 Cytochrome oxidase bd-II, subunit I OS=Klebsiella pneumoniae subsp. pneumonia",False
tr|A6T7M5|A6T7M5_KLEP7,KPN_01163,594,unreviewed (tr),tr|A6T7M5|A6T7M5_KLEP7 diguanylate cyclase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
sp|A6T7N0|LEUE_KLEP7,leuE,212,reviewed (sp),sp|A6T7N0|LEUE_KLEP7 Leucine efflux protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,False
tr|A6T7N4|A6T7N4_KLEP7,yeaP,337,unreviewed (tr),tr|A6T7N4|A6T7N4_KLEP7 diguanylate cyclase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T7P6|A6T7P6_KLEP7,KPN_01184,421,unreviewed (tr),tr|A6T7P6|A6T7P6_KLEP7 Protein UmuC OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 /,False
tr|A6T7Q5|A6T7Q5_KLEP7,yeaG,644,unreviewed (tr),tr|A6T7Q5|A6T7Q5_KLEP7 Serine/threonine kinase YeaG OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T7Q8|A6T7Q8_KLEP7,yeaD,294,unreviewed (tr),tr|A6T7Q8|A6T7Q8_KLEP7 Putative glucose-6-phosphate 1-epimerase OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T7R3|A6T7R3_KLEP7,KPN_01201,417,unreviewed (tr),tr|A6T7R3|A6T7R3_KLEP7 chitinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MG,False
tr|A6T7R4|A6T7R4_KLEP7,pncA,213,unreviewed (tr),tr|A6T7R4|A6T7R4_KLEP7 Nicotinamidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T7R5|A6T7R5_KLEP7,ansA,339,unreviewed (tr),tr|A6T7R5|A6T7R5_KLEP7 L-asparaginase 1 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7R6|A6T7R6_KLEP7,sppA,617,unreviewed (tr),tr|A6T7R6|A6T7R6_KLEP7 Protease 4 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / M,False
tr|A6T7R7|A6T7R7_KLEP7,ydjA,183,unreviewed (tr),tr|A6T7R7|A6T7R7_KLEP7 Putative NAD(P)H nitroreductase OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
tr|A6T7R8|A6T7R8_KLEP7,phoC,248,unreviewed (tr),tr|A6T7R8|A6T7R8_KLEP7 Acid phosphatase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7S2|A6T7S2_KLEP7,gdhA,447,unreviewed (tr),tr|A6T7S2|A6T7S2_KLEP7 Glutamate dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T7T4|A6T7T4_KLEP7,astA,344,unreviewed (tr),tr|A6T7T4|A6T7T4_KLEP7 Arginine N-succinyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
sp|A6T7T5|ASTD_KLEP7,astD,492,reviewed (sp),sp|A6T7T5|ASTD_KLEP7 N-succinylglutamate 5-semialdehyde dehydrogenase OS=Klebsiella pneumoniae subsp,False
tr|A6T7T6|A6T7T6_KLEP7,astB,441,unreviewed (tr),tr|A6T7T6|A6T7T6_KLEP7 N-succinylarginine dihydrolase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T7T9|A6T7T9_KLEP7,ydjQ,287,unreviewed (tr),tr|A6T7T9|A6T7T9_KLEP7 Excinuclease cho OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T7U3|A6T7U3_KLEP7,celB,417,unreviewed (tr),tr|A6T7U3|A6T7U3_KLEP7 Permease IIC component OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T7U4|A6T7U4_KLEP7,celC,115,unreviewed (tr),"tr|A6T7U4|A6T7U4_KLEP7 PTS system N,N'-diacetylchitobiose-specific EIIA component OS=Klebsiella pneu",False
tr|A6T7U6|A6T7U6_KLEP7,celF,448,unreviewed (tr),tr|A6T7U6|A6T7U6_KLEP7 6-phospho-beta-glucosidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
